
2025-07-21 19:55:43,134 - ERROR - Podcast: Error procesando episodio #484: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:43,253 - ERROR - Podcast: Error procesando episodio #483: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:43,371 - ERROR - Podcast: Error procesando episodio #482: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:43,487 - ERROR - Podcast: Error procesando episodio #481: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:43,605 - ERROR - Podcast: Error procesando episodio #480: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:43,726 - ERROR - Podcast: Error procesando episodio #479: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:43,844 - ERROR - Podcast: Error procesando episodio #478: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:43,954 - ERROR - Podcast: Error procesando episodio #477: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:44,068 - ERROR - Podcast: Error procesando episodio #476: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:44,184 - ERROR - Podcast: Error procesando episodio #475: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:44,297 - ERROR - Podcast: Error procesando episodio #474: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:44,413 - ERROR - Podcast: Error procesando episodio #473: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:44,532 - ERROR - Podcast: Error procesando episodio #472: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:44,654 - ERROR - Podcast: Error procesando episodio #471: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:44,769 - ERROR - Podcast: Error procesando episodio #470: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:44,895 - ERROR - Podcast: Error procesando episodio #469: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:45,013 - ERROR - Podcast: Error procesando episodio #468: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:45,136 - ERROR - Podcast: Error procesando episodio #467: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:45,258 - ERROR - Podcast: Error procesando episodio #466: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
